userid,age,sex,consume,user_star
28E656F03317D0E3AE6A170333CC6A79,-1,-1,-1,-1
752A189B251D376F3A3C43B0539810FF,57,1,128.3,2
B98C31292B633343D3EB42BD77F46B7A,36,1,215.21,4
E9B956F46BB16AC0FDCA140EA3ECF4B9,45,0,1,1
CE21416F61DFD1270AD66E4AF862B1AE,-1,-1,-1,-1
F2FC349309C0DC580117CB7BBE07FB9B,42,1,27.5,1
1FCE287F0BFF7FAE606563A07D2BA24D,45,0,374.94,6
EA7ED3578F28E463995634581B94093A,41,0,27.6,1
4DD0E290095B643457EFB15622AFC21C,33,0,15,-1
63F2B4F2FF13707B8A899BDA95EFD9EA,37,0,120.1,5
CD7B0B15E5423278964ED83BF820DE46,40,0,38,1
D8D360C8B65B7C22273912795A242DA5,26,0,45,1
ED71FE953BFBBA9AA8CCCCE1FDC3A04A,-1,-1,-1,-1
F574865226F0A521417D4319D7D874A4,32,1,149,3
FA6DCCCAEFD3DBD3D89757930C0DBF11,35,0,128.3,4
698C527080986005874FF9C760A89A49,36,0,69.36,2
961488AB6DDAD117097C4C94EBEE5EC1,53,0,22,1
BF8BCF8D240626F753A55A6F6F23B9B5,40,0,39,1
FF331CFCACF63A124905E66EC5611C03,-1,-1,-1,-1
12C3E1F919608CE895834DED2A698550,49,1,19,1
7DFD7AA26101182187CE2F3C4EA446B1,-1,-1,-1,-1
F265C47873B2710B91D8CD9E41B8877D,-1,-1,-1,-1
F9701A79400A55783F21B057ED364C4B,27,1,34.65,1
06F167870A4BE9924A98F93C13615384,26,0,128.57,1
153F01143F07BD01BBD0E396470F92E4,38,1,10,1
284274E8364122E6F67C0A98576057A1,-1,-1,-1,-1
4C5E307A6665D1441E87146537D00CE9,87,1,11,1
AF2A9E031167F8A7D99BDAD0ADC40005,55,0,39,1
F0B7AEB5CCC1A5A780BCB23D0753C714,27,1,10.46,1
F396CD754F25AD75954B67344713FF8B,71,0,9,1
F606095478E3DDD3B1DD21CE9F9461C5,49,0,245.6,4
F657F09FB8D024B5FA678CC7B8AE682F,-1,-1,-1,-1
AEFE08F663BFD7E6AC193CCDB494BCA0,70,0,10,1
B7CA70071AE264545EC50ED94FE9772E,30,0,31.43,1
4657DA40C02C18796271DA5A0740198E,26,0,12.72,1
B751A266F15C49BF730687DD37F0EA07,42,0,58,4
09A8866547BA6C1C9D993E7619E734D7,41,1,149.05,4
48B989CEE699348C426408047E8FA7ED,-1,-1,-1,-1
8F3FE83DA6AE14CB9412BB067E04C088,29,0,170.1,4
64D80177E5CE112AF366797CE5FEAF9E,30,0,282.86,2
CB0AA426324719C667E5C517DDD524AA,45,0,84.28,2
D9A6D2FB4727239CE977EC0782E837A1,50,1,271.48,4
7DCFE042605512B250D9997C4867ADBF,56,1,13,1
6A59450D372C3CEEA627810A5D9A06E8,44,1,90.7,4
B701CE739ACB9ACEC25F353C8E93C0A8,40,1,295.66,4
FF178ABC23B06BC56036EBFB2276BEF6,55,1,167.5,4
44E30FBFD75F58449DBBDD08938DC83D,29,1,107.6,1
8B3FEC63EC7009CC198638AE9D80BDFD,64,0,140,7
2B916D1F163915C052DCC8C5102DF34E,-1,-1,-1,-1
6C1962BDF00C48BC1A3C31C5A869DD5E,31,0,120,4
8FA8C684567B61A7A225491F49231776,-1,-1,-1,-1
9839C04163EF2A105172A12C7A5A1AE5,33,1,2.4,1
9AF0D7DC932D83ECF07C64BACDF9B80A,54,1,43.76,2
5DF8D41640CC6161CAA3699067E87DD4,46,0,139.2,4
C589DA6537C96EC257AC4618783EE04C,47,1,139,4
DADBABD4DFFC610C29B94BB730EEDE9E,34,1,191.23,4
FC3FEE9E743E4867F73A0830F318C8E7,56,0,22.39,1
40BE6B0529A9F49294071E75B25B09B5,30,1,130.3,3
8566502A952C97595649A450A12EF4D5,62,1,102.73,3
EA0C22F8A2003E4FC2727F7BD65B2013,44,0,8.11,1
0BBF81D8C44CEA7D26E845771FB3C256,32,0,78.1,2
3E48C0E2287A2065833408B377056A5A,69,1,18.57,1
D64FCEBB3F61B39267830E48774648D7,33,0,20,1
FC231634142634E1953678A64FA8CE71,29,0,21.1,3
3780327DF3C68A4435D71A760A6E2C90,-1,-1,-1,-1
454D2B6B6024AD0B7015CA2337363434,45,1,50.25,0
8B3986F37C591D5D7AE6D9677233B9AC,32,0,-1,-1
B67C07BD1F3F1B9BF8E74840CBA7AA22,53,1,108,3
2E70EE5A5ABAE76D77C28BC715F53323,28,0,90.1,2
BE26383BA271D05654B5DFB2ABCE36FB,34,1,25.41,2
799CF1AF5BEE3121FA0FA011FC5448B4,27,1,129.38,3
295ADA71A6B33E88F2945A8DFEA1598B,29,1,71.3,2
8D3A6492AC7F62050ED2E34C76F6D874,52,0,97.16,4
50E43BA63AF6201EA7663512C2D1C83F,33,1,192,5
976C6A78AA58A0F2CDA737E1001A85A2,61,0,1.2,1
C94D18DADB416CBD160331371DE4A9DD,24,1,73.3,2
DA59A125D5BD07EB8AA67FAF9EBD3B73,37,0,10.1,0
8472E3FBBFA976F18515AF768C229DF7,54,1,100.85,3
8DA268F53CB1C419140E07CAAD3A924B,-1,-1,-1,-1
940D7195AC1C72F29D19370C29D7CA41,-1,-1,-1,-1
B79DF2FE38397FF401D70AF6E1C40D81,42,0,237.4,6
C8497A68BB56556505EBD3FBCC307E1F,-1,-1,-1,-1
2BA73D0EBE78B9DF0E9040C89B8ADC3D,29,1,90,2
335F5FBD1BC4FF4EE55122363AECDA14,53,0,88.17,3
9558BA2A0855B60C0C4A591D40E8F5CA,-1,-1,-1,-1
A38A4EEFB4DA5C4F85230473DFFB3488,26,0,40,1
21D2514BD6CCD4687C5B71E75C50AF7B,35,0,101.81,3
CFDED6FB0A35DF6D3DE8BFC884AEDAEF,58,0,11,1
D6B9A11A59B2623AD96A020C8D9281C3,60,0,10,1
DF5C8E1E59A636A2AF2D51A491027FB4,27,1,38,1
