,msisdn,region,prov,stime,ci,slongitude,slatitude,end_time,end_ci,end_longitude,end_latitude,duration,lac,lbs_region,stat_date
0,16AF0A1FA4F8957662582C7549C60B3F,1000250,32,2023-07-10 10:05:36,230491678,118.73636,32.03911,2023-07-10 10:05:36,9841599,118.7374572,32.034771,0,20965,1000250,20230710
1,100C9E94ADEE0A6202C12542801C6226,1000250,32,2023-07-10 10:16:52,42962300955,118.82702,32.11729,2023-07-10 10:16:52,43224182807,0.0,0.0,0,1048674,1000250,20230710
2,97C10772A9D314B38577FA5434866941,1000250,32,2023-07-10 19:33:42,84359759,118.82805,32.14732,2023-07-10 19:33:42,230464539,118.81777,32.17074,0,20637,1000250,20230710
3,3A15F109F4362FF22AD95740D3C837A0,1000250,32,2023-07-11 01:19:42,230572846,118.643841,32.063491,2023-07-11 01:19:42,230573092,118.64329,32.06458,0,21004,1000250,20230711
4,6E6DDD913FDC4DDC1CA45991E7D1E71C,2100230,50,2023-07-11 19:11:52,43173335066,0.0,0.0,2023-07-11 19:11:52,43173339176,0.0,0.0,0,1048648,1000250,20230711
5,3D1F77F60F8CA002A0BC1CA53B15988D,1000515,32,2023-07-11 19:17:58,219047992,119.076294,32.20161,2023-07-11 19:17:58,231065159,119.07314,32.21806,0,20994,1000250,20230711
6,0F05F36F5D6D3ED252547717F711DB1B,1000250,32,2023-07-12 07:16:36,42959458330,118.94274,31.753738,2023-07-12 07:16:36,42960601114,0.0,0.0,0,1048664,1000250,20230712
7,12C39FCD66BCE556482E3CA189E12D45,1000250,32,2023-07-12 11:17:11,114212055,118.78252,32.036396,2023-07-12 11:17:11,230426657,118.78777,32.009106,0,20498,1000250,20230712
8,236425B6074B05BACA59BE0D753A9A63,2100200,44,2023-07-12 16:06:59,4294967317,0.0,0.0,2023-07-12 16:06:59,9769440,118.812511,32.066261,0,20989,1000250,20230712
9,459C7F95DA34CD3CC1D95D44A0E4EFB2,2100553,34,2023-07-12 19:15:54,220257082,118.60933,31.929161,2023-07-12 19:15:54,9257921,118.5624,31.940222,0,20988,1000250,20230712
10,8B71DF651B282E37396B38F50EEF6984,1000250,32,2023-07-12 19:55:13,113647072,118.68127,32.11572,2023-07-12 19:55:13,161387970,118.68027,32.10781,0,21006,1000250,20230712
11,0506D589317DAC914DDC51F9A4E7E668,2100210,31,2023-07-12 22:43:30,10000304,118.71726,32.142986,2023-07-12 22:43:30,113564640,118.71248,32.143312,0,20962,1000250,20230712
12,8EB622FD3CA29D5246631CD3F83C16C1,1000250,32,2023-07-13 09:01:28,43097956376,118.7057,32.018,2023-07-13 09:01:28,4294967317,0.0,0.0,0,1048618,1000250,20230713
13,F24E2998375C4E9A00B23EAEC25C4443,2100554,34,2023-07-13 11:33:34,180219740,118.77817,32.056957,2023-07-13 11:33:34,180220759,118.77817,32.056957,0,20767,1000250,20230713
14,CBA8082F6713F1A25D92DEEB037E1BBE,1000250,32,2023-07-14 00:29:46,9515989,118.89751,32.04821,2023-07-14 00:29:46,42957193239,118.89751,32.04821,0,25310,1000250,20230714
15,A31A3BAC6FA80D6B09D53A15B775C316,1000250,32,2023-07-14 01:46:13,84089369,118.7718,32.074944,2023-07-14 01:46:13,230844744,118.7730111,32.0714511,0,20497,1000250,20230714
16,3EF4555F8E52C6AB5D970C6073AE71FA,1000250,32,2023-07-14 11:49:14,43172417560,118.73421,31.995213,2023-07-14 11:49:14,42962575383,118.73205,31.98437,0,1048618,1000250,20230714
